Output:                  
Token                    Lexeme                   
--------------------------------------------------
Unknown                  |                        
Keyword                  function                 
Identifier               convert1x                
Separator                (                        
Identifier               fahr                     
Separator                :                        
Keyword                  int                      
Separator                )                        
Separator                {                        
Keyword                  return                   
Int                      5                        
Operator                 *                        
Separator                (                        
Identifier               fahr                     
Operator                 -                        
Int                      32                       
Separator                )                        
Operator                 /                        
Int                      9                        
Separator                ;                        
Separator                }                        
Separator                $$                       
Keyword                  int                      
Identifier               low                      
Separator                ,                        
Identifier               high                     
Separator                ,                        
Identifier               step                     
Separator                ;                        
Keyword                  get                      
Separator                (                        
Identifier               low                      
Separator                ,                        
Identifier               high                     
Separator                ,                        
Identifier               step                     
Separator                )                        
Separator                ;                        
Keyword                  while                    
Separator                (                        
Identifier               low                      
Operator                 <                        
Identifier               high                     
Separator                )                        
Separator                {                        
Keyword                  put                      
Separator                (                        
Identifier               low                      
Separator                )                        
Separator                ;                        
Keyword                  put                      
Separator                (                        
Identifier               convert1x                
Separator                (                        
Identifier               low                      
Separator                )                        
Separator                )                        
Separator                ;                        
Identifier               low                      
Operator                 =                        
Identifier               low                      
Operator                 +                        
Identifier               step                     
Separator                ;                        
Separator                }                        
Keyword                  whileend                 
Unknown                  $                        
Separator                $$                       
                                                  
